standort_id;bild_id;gattung;art;name;datum;zeit
1;img2;NA;NA;Blank;07.09.23;10:57:33
2;img3;NA;NA;Blank;25.01.23;06:27:59
3;img4;Capreolus;capreolus;European Roe Deer;21.09.23;02:07:51
3;img4;Capreolus;capreolus;European Roe Deer;21.09.23;02:07:51
3;img4;Capreolus;capreolus;European Roe Deer;21.09.23;02:07:51
4;img5;Sciurus;vulgaris;Eurasian Red Squirrel;14.09.23;08:27:49
4;img8;NA;NA;Undetermined;02.10.23;06:59:10
4;img9;Vulpes;vulpes;Red Fox;06.10.23;19:02:00
3;img10;Sus;scrofa;Wild Boar;10.08.23;23:47:41
5;img12;Vulpes;vulpes;Red Fox;21.09.23;19:48:18
6;img13;Sus;scrofa;Wild Boar;25.09.23;00:08:26
6;img13;Sus;scrofa;Wild Boar;25.09.23;00:08:26
6;img13;Sus;scrofa;Wild Boar;25.09.23;00:08:26
7;img14;Homo;sapiens;Human;08.09.23;13.12.54
7;img15;NA;NA;Blank;10.09.23;18:23:00
3;img17;Capreolus;capreolus;European Roe Deer;17.10.23;20:17:40
8;img18;NA;NA;Blank;03.05.23;21:32:12
3;img19;Capreolus;capreolus;European Roe Deer;23.10.23;18:38:45
9;img20;Capreolus;capreolus;European Roe Deer;22.10.23;14:24:49
6;img22;Sus;scrofa;Wild Boar;25.09.23;00:08:56
6;img22;Sus;scrofa;Wild Boar;25.09.23;00:08:56
6;img22;Sus;scrofa;Wild Boar;25.09.23;00:08:56
10;img24;NA;NA;Undetermined;09.09.23;06:34:12
5;img54;Vulpes;vulpes;Red Fox;22.10.23;23:06:54
4;img121;Sciurus;vulgaris;Eurasian Red Squirrel;25.10.23;12:34:28
11;img176;Canis;lupis;Eurasien Wolf;21.07.23;06:06:16
7;img250;Homo;sapiens;Human;12.09.23;13:54:42
5;img372;Vulpes;vulpes;Red Fox;23.10.23;19:02:21
12;img384;Sus;scrofa;Wild Boar;10.09.23;06:56:27
12;img384;Sus;scrofa;Wild Boar;10.09.23;06:56:27
12;img384;Sus;scrofa;Wild Boar;10.09.23;06:56:27
12;img384;Sus;scrofa;Wild Boar;10.09.23;06:56:27
12;img384;Sus;scrofa;Wild Boar;10.09.23;06:56:27
12;img384;Sus;scrofa;Wild Boar;10.09.23;06:56:27
12;img390;Capreolus;capreolus;European Roe Deer;09.09.23;07:43:03
12;img390;Cervus;elaphus;European Red Deer;09.09.23;07:43:03
12;img390;Cervus;elaphus;European Red Deer;09.09.23;07:43:03